NameID;Name_ZhT;IDCH;OrgSup;Institution;Type_1;Type_2;Type_2_Orig;Institution_Lev_2;Institution_Lev_3;Prov_Inst;City_Inst;Position;Level_Code;Level_New;StartPosYear;StartPosMonth;StartJob;Zi;BirthProv;BirthLoc;Gender;Age;Birthyear;Generation;Status
N00157;沈維鏗;P0578;國民政府;鹽運特稅局;GOV;GOVC;GOV-C;稅等局;;;;局長;MM;Middle Management;;;;;福建;閩侯;M;52;1893;3;P
N00157;沈維鏗;P0580;國民政府;文官處;GOV;GOVC;GOV-C;;;;;庶務主任;MM;Middle Management;;;;;福建;閩侯;M;52;1893;3;P
N00348;馮百平;P0964;國民政府;國民政府;GOV;GOVC;GOV-C;;;;;參事;EM;Executive Management;;;;;河南;商城;M;44;1901;4;P
N00348;馮百平;P0965;國民政府;國民政府;GOV;GOVC;GOV-C;;;;;參議;EM;Executive Management;;;;;河南;商城;M;44;1901;4;P
N04669;劉鳳儀;P10183;;僑務委員會;GOV;GOVC;GOV-C;辦事處;;;;秘書;AOS;Administrative and Office Staff;;;;;廣東;梅縣;M;32;1913;5;P
N04704;史維煥;P10279;國民政府;立法院;GOV;GOVC;GOV-C;;;;;委員;MM;Middle Management;;;;奎光;貴州;貴定;M;50;1895;3;P
N04839;鄭延卓;P10678;國民政府;外交部;GOV;GOVC;GOV-F;湖北外交;;;;特派員;PTS;Professional and Technical Staff;;;;;湖南;長沙;M;36;1909;5;P
N04839;鄭延卓;P10679;國民政府;外交部;GOV;GOVC;GOV-F;;;;;公署秘書;AOS;Administrative and Office Staff;;;;;湖南;長沙;M;36;1909;5;P
N04839;鄭延卓;P10682;國民政府;糧食部;GOV;GOVC;GOV-C;督導室;;;;主任;MM;Middle Management;;;;;湖南;長沙;M;36;1909;5;P
N04882;簡泰梁;P10820;;振濟委員會;GOV;GOVC;GOV-C;;;;;特派員;PTS;Professional and Technical Staff;;;;;四川;富順;M;36;1909;5;P
N05138;康寶志;P11339;國民政府;糧食部;GOV;GOVC;GOV-C;;;;;參事;EM;Executive Management;;;;心之;陝西;城固;M;51;1894;3;P
N05140;程懋型;P11349;國民政府;糧食部;GOV;GOVC;GOV-C;;;;;都察;AOS;Administrative and Office Staff;;;;儀仲;江西;新建;M;48;1897;4;P
N05145;李盛鳴;P11361;國民政府;中央公務員懲戒委員會;GOV;GOVC;GOV-C;;;;;主任秘書;SCS;Senior Civil Service;;;;子謙;湖北;蘄春;M;56;1889;3;P
N05242;王元增;P11545;國民政府;司法部;GOV;GOVC;GOV-C;;;;;科長;MM;Middle Management;;;;新之;江蘇;嘉定;M;65;1880;2;P
N05315;鄭烈;P11674;北洋政府;平政院;GOV;GOVC;GOV-C;;;;;庭長;SCS;Senior Civil Service;;;;曉雲;福建;福州;M;62;1883;2;P
N05332;郗朝俊;P11720;國民政府;立法院;GOV;GOVC;GOV-C;;;;;立法委員;SEM;Senior Executive Management;;;;勵勤;陝西;華陰;M;52;1893;3;P
N05370;鄧哲熙;P11863;國民政府;立法院;GOV;GOVC;GOV-C;;;;;立法委員;SEM;Senior Executive Management;;;;仲知;河北;大城;M;48;1897;4;P
N05422;武和軒;P12027;國民政府;內政部;GOV;GOVC;GOV-C;;;;;科員;AOS;Administrative and Office Staff;;;;;山西;文水;M;43;1902;4;P
N05422;武和軒;P12028;國民政府;蒙藏委員會;GOV;GOVC;GOV-C;;;;;科長;MM;Middle Management;;;;;山西;文水;M;43;1902;4;P
N05422;武和軒;P12030;國民政府;鐵道部;GOV;GOVC;GOV-C;;;;;專員;SCS;Senior Civil Service;;;;;山西;文水;M;43;1902;4;P
N05423;趙錫昌;P12035;國民政府;蒙藏政治訓練班;GOV;GOVC;GOV-C;;;;;主任;MM;Middle Management;;;;;雲南;華坪;M;55;1890;3;P
N05423;趙錫昌;P12036;國民政府;蒙藏委員會;GOV;GOVC;GOV-C;;;;;科長;MM;Middle Management;;;;;雲南;華坪;M;55;1890;3;P
N05460;阮承霖;P12151;國民政府;蒙藏委員會;GOV;GOVC;GOV-C;;;;;專門委員;AOS;Administrative and Office Staff;;;;雨民;陝西;安康;M;51;1894;3;P
N05460;阮承霖;P12152;國民政府;蒙藏委員會;GOV;GOVC;GOV-C;;;;;調查員;AOS;Administrative and Office Staff;;;;雨民;陝西;安康;M;51;1894;3;P
