NameID,Name_ZhT,Birthprov,BirthLoc,Univ_ZhT,Institution
N06036,朱劍農,安徽,旌德,明治大學,地權處第一科
N06379,朱幹青,湖北,廣濟,明治大學,書記廳
N06379,朱幹青,湖北,廣濟,明治大學,會計處
N01062,朱若華,四川,宜賓,明治大學,外交部亞東司
N02006,朱鴻基,浙江,NA,明治大學,錢幣司
N05630,李乾,安徽,壽縣,明治大學,振濟委員會第三處
N03140,李邦龢,江蘇,NA,明治大學,企業司
N06883,梁子青,河北,行唐,明治大學,豫陝冀晉魯皖銓敍處
N01384,楊中一,安徽,舒城,明治大學,國庫署
N07236,楊宜湛,四川,渠縣,明治大學,總務處
N05337,楊浩,湖南,長沙,明治大學,湖南高等法院
N06405,楊纓甫,湖南,瀏陽,明治大學,法規研究委員會
N00897,楊際唐,貴州,劍河,明治大學,內政部民政司
N00854,楊鴻春,雲南,大理,明治大學,內政部第四組
N01608,段幹華,安徽,合肥,明治大學,直接稅署
N06249,沈陳善,浙江,吳興,明治大學,編譯處
N07109,王燦,雲南,昆明,明治大學,雲南貴州監察區
N06582,王芝庭,陝西,鄠縣,明治大學,行政法院第一庭
N06606,畢鼎琛,湖北,浠水,明治大學,中央公務員懲戒委員會
N01189,矯漢治,山東,牟平,明治大學,情報司資料組
N00921,萬耀南,江西,新建,明治大學,內政部警政司
N07128,胡希瑗,陝西,寧強,明治大學,審計部
N00176,葛鵬,江蘇,嘉定,明治大學,國民政府參軍處
N01045,董季安,四川,重慶,明治大學,外交部駐川康特派員公署
N07350,蔡屏藩,陝西,渭南,明治大學,陝西審計處
N00006,覃振,湖南,桃園,明治大學,司法院
N00006,覃振,湖南,桃園,明治大學,國民政府委員會
N06123,趙琛,浙江,東陽,明治大學,立法院
N06775,趙耕安,山西,忻縣,明治大學,秘書室
N05423,趙錫昌,雲南,華坪,明治大學,蒙藏委員會
N06410,邱懷瑾,四川,NA,明治大學,法規研究委員會
N00657,鄧介松,湖南,湘鄉,明治大學,文書組
N05370,鄧哲熙,河北,大城,明治大學,河北高等法院
N01069,鄭壽恩,廣東,中山,明治大學,外交部亞東司
N04839,鄭延卓,湖南,長沙,明治大學,糧食部
N07235,鄺植三,廣東,台山,明治大學,總務處
N03461,錢雲階,湖北,漢陽,明治大學,訓育委員會
N02916,陳廷煦,江蘇,嘉定,明治大學,經濟部
N05590,陳訪先,安徽,東流,明治大學,振濟委員會
N05324,陳錫瑚,廣西,鬱林,明治大學,廣西高等法院
N06646,饒炎,四川,成都,明治大學,法規委員會
N06646,饒炎,四川,成都,明治大學,考試院
N07110,高一涵,安徽,六合,明治大學,甘肅寧夏青海監察區
N01630,高奇,山東,濟寧,明治大學,直接稅署
N06331,黃介民,江西,清江,明治大學,秘書處
N01383,吳文叔,安徽,合肥,東亞學校,國庫署
N04669,劉鳳儀,廣東,梅縣,東京商科大學,社會福利司
N01385,張白衣,江蘇,嘉定,東京商科大學,國庫署
N00180,楊汝梅,湖北,隨縣,東京商科大學,國民政府主計處
N00227,鍾愷,湖南,常德,東京商科大學,國民政府主計處
N04512,丁穎,廣東,茂名,東京大學,廣東省推廣繁殖站
N06736,何基鴻,河北,藁縣,東京大學,監察院
N06460,何蔚,廣東,興寧,東京大學,刑事第三庭
N04336,余先亮,四川,威遠,東京大學,農村經濟司
N00369,余又蓀,四川,涪陵,東京大學,總辦事處
N01686,劉允承,江蘇,武進,東京大學,關務署
N06182,史太璞,安徽,桐城,東京大學,秘書室
N06639,史尚寬,安徽,桐城,東京大學,考試院
N05365,周予牧,河北,灤縣,東京大學,山東高等法院
N03464,周彧文,吉林,雙城,東京大學,訓育委員會
N04505,周進三,浙江,嵊縣,東京大學,福建順昌墾區管理局
N03294,周雲裳,廣東,南海,東京大學,社會教育司
N02359,姜善甫,四川,成都,東京大學,總務司
N05138,康寶志,陝西,城固,東京大學,四川民食第一供應處
N05681,張啟凡,廣東,南海,東京大學,人事室
N00827,徐蔚南,江蘇,吳江,東京大學,中央圖書雜誌審查委員會
N03460,方治,安徽,桐城,東京大學,訓育委員會
N06034,朱章寶,浙江,金華,東京大學,地權處
N04492,李兆煇,福建,長汀,東京大學,陪都增殖漁產臨時辦事處
N07271,李卓才,廣東,台山,東京大學,駐資源委員會
N04279,林祜光,福建,閩侯,東京大學,技術處
N01067,楊覺勇,河北,清苑,東京大學,外交部亞東司
N01059,楊雲竹,河北,蠡縣,東京大學,外交部亞東司
N04437,沈伯倫,江蘇,崑山,東京大學,醫務所
N04757,燕永治,湖北,黃陂,東京大學,勞動局
